Year,Week,GID,Team_fmt,Opp_fmt,h.a,Name,Pos,DK.points,DK.salary
2019,1,7027,SF,TB,a,San Francisco,Def,27,2200
2019,1,7030,TEN,CLE,a,Tennessee,Def,23,2600
2019,1,7021,NYJ,BUF,h,New York J,Def,18,3100
2019,1,7017,MIN,ATL,h,Minnesota,Def,16,3300
2019,1,7012,GB,CHI,a,Green Bay,Def,14,2700
2019,1,7003,BAL,MIA,a,Baltimore,Def,13,3800
2019,1,7029,TB,SF,h,Tampa Bay,Def,12,2200
2019,1,7028,SEA,CIN,h,Seattle,Def,12,3100
2019,1,7004,BUF,NYJ,a,Buffalo,Def,10,3000
2019,1,7018,NE,PIT,h,New England,Def,10,3400
2019,1,7006,CHI,GB,h,Chicago,Def,9,3700
2019,1,7025,LA,CAR,a,LA Rams,Def,9,3200
2019,1,7019,NO,HOU,h,New Orleans,Def,7,3200
2019,1,7011,DET,ARI,a,Detroit,Def,7,2900
2019,1,7001,ARI,DET,h,Arizona,Def,7,2700
2019,1,7013,IND,LAC,a,Indianapolis,Def,7,2600
2019,1,7007,CIN,SEA,a,Cincinnati,Def,6,2000
2019,1,7009,DAL,NYG,h,Dallas,Def,6,3500
2019,1,7015,KC,JAX,a,Kansas City,Def,5,2800
2019,1,7022,OAK,DEN,h,Oakland,Def,4,2200
2019,1,7005,CAR,LA,h,Carolina,Def,4,2100
2019,1,7032,HOU,NO,a,Houston,Def,2,2500
2019,1,7026,LAC,IND,h,LA Chargers,Def,2,3000
2019,1,7023,PHI,WAS,h,Philadelphia,Def,1,3600
2019,1,7010,DEN,OAK,a,Denver,Def,0,3600
2019,1,7008,CLE,TEN,h,Cleveland,Def,0,3400
2019,1,7002,ATL,MIN,a,Atlanta,Def,0,2400
2019,1,7031,WAS,PHI,a,Washington,Def,0,2500
2019,1,7024,PIT,NE,a,Pittsburgh,Def,0,2800
2019,1,7016,MIA,BAL,h,Miami,Def,-3,2100
2019,1,7014,JAX,KC,h,Jacksonville,Def,-4,2300
2019,1,7020,NYG,DAL,a,New York G,Def,-4,2300
2019,2,7018,NE,MIA,a,New England,Def,37,3700
2019,2,7008,CLE,NYJ,a,Cleveland,Def,13,3200
2019,2,7012,GB,MIN,h,Green Bay,Def,12,3100
2019,2,7015,KC,OAK,a,Kansas City,Def,11,3500
2019,2,7032,HOU,JAX,h,Houston,Def,10,2800
2019,2,7002,ATL,PHI,h,Atlanta,Def,10,2300
2019,2,7029,TB,CAR,a,Tampa Bay,Def,9,2500
2019,2,7011,DET,LAC,h,Detroit,Def,9,3000
2019,2,7014,JAX,HOU,a,Jacksonville,Def,8,2400
2019,2,7025,LA,NO,h,LA Rams,Def,8,2700
2019,2,7030,TEN,IND,h,Tennessee,Def,8,3100
2019,2,7026,LAC,DET,a,LA Chargers,Def,8,3200
2019,2,7023,PHI,ATL,a,Philadelphia,Def,7,3300
2019,2,7027,SF,CIN,a,San Francisco,Def,7,2800
2019,2,7024,PIT,SEA,h,Pittsburgh,Def,7,2400
2019,2,7004,BUF,NYG,a,Buffalo,Def,6,3400
2019,2,7005,CAR,TB,h,Carolina,Def,6,3100
2019,2,7017,MIN,GB,a,Minnesota,Def,6,3000
2019,2,7019,NO,LA,a,New Orleans,Def,5,2600
2019,2,7021,NYJ,CLE,h,New York J,Def,5,2600
2019,2,7006,CHI,DEN,a,Chicago,Def,5,3900
2019,2,7013,IND,TEN,a,Indianapolis,Def,5,2500
2019,2,7003,BAL,ARI,h,Baltimore,Def,4,3800
2019,2,7022,OAK,KC,h,Oakland,Def,3,2000
2019,2,7028,SEA,PIT,a,Seattle,Def,3,2900
2019,2,7016,MIA,NE,h,Miami,Def,3,2100
2019,2,7001,ARI,BAL,a,Arizona,Def,2,2200
2019,2,7031,WAS,DAL,h,Washington,Def,2,2300
2019,2,7020,NYG,BUF,h,New York G,Def,2,2500
2019,2,7010,DEN,CHI,h,Denver,Def,1,2700
2019,2,7009,DAL,WAS,a,Dallas,Def,1,3300
2019,2,7007,CIN,SF,h,Cincinnati,Def,-2,2600
2019,3,7006,CHI,WAS,a,Chicago,Def,21,3900
2019,3,7021,NYJ,NE,a,New York J,Def,16,2100
2019,3,7014,JAX,TEN,h,Jacksonville,Def,15,2900
2019,3,7019,NO,SEA,a,New Orleans,Def,14,2200
2019,3,7011,DET,PHI,a,Detroit,Def,13,2200
2019,3,7005,CAR,ARI,a,Carolina,Def,13,2700
2019,3,7012,GB,DEN,h,Green Bay,Def,13,3400
2019,3,7009,DAL,MIA,h,Dallas,Def,12,4300
2019,3,7004,BUF,CIN,h,Buffalo,Def,11,3400
2019,3,7024,PIT,SF,a,Pittsburgh,Def,11,2300
2019,3,7018,NE,NYJ,h,New England,Def,11,3800
2019,3,7008,CLE,LA,h,Cleveland,Def,9,2800
2019,3,7025,LA,CLE,a,LA Rams,Def,9,3100
2019,3,7029,TB,NYG,h,Tampa Bay,Def,8,2900
2019,3,7032,HOU,LAC,a,Houston,Def,8,2800
2019,3,7027,SF,PIT,h,San Francisco,Def,7,3200
2019,3,7017,MIN,OAK,h,Minnesota,Def,7,3300
2019,3,7020,NYG,TB,a,New York G,Def,7,3000
2019,3,7007,CIN,BUF,a,Cincinnati,Def,5,2400
2019,3,7031,WAS,CHI,h,Washington,Def,5,2600
2019,3,7026,LAC,HOU,h,LA Chargers,Def,4,2500
2019,3,7023,PHI,DET,h,Philadelphia,Def,2,3500
2019,3,7015,KC,BAL,h,Kansas City,Def,2,2500
2019,3,7028,SEA,NO,h,Seattle,Def,2,3200
2019,3,7016,MIA,DAL,a,Miami,Def,2,2000
2019,3,7013,IND,ATL,h,Indianapolis,Def,2,2800
2019,3,7002,ATL,IND,a,Atlanta,Def,1,3100
2019,3,7030,TEN,JAX,a,Tennessee,Def,1,3300
2019,3,7010,DEN,GB,a,Denver,Def,0,2600
2019,3,7001,ARI,CAR,h,Arizona,Def,0,2700
2019,3,7003,BAL,KC,a,Baltimore,Def,0,2500
2019,3,7022,OAK,MIN,a,Oakland,Def,-1,2700
2019,4,7018,NE,BUF,a,New England,Def,25,3700
2019,4,7020,NYG,WAS,h,New York G,Def,24,3600
2019,4,7024,PIT,CIN,h,Pittsburgh,Def,19,3200
2019,4,7006,CHI,MIN,h,Chicago,Def,17,3400
2019,4,7028,SEA,ARI,a,Seattle,Def,16,3300
2019,4,7029,TB,LA,a,Tampa Bay,Def,15,2100
2019,4,7005,CAR,HOU,a,Carolina,Def,14,2300
2019,4,7015,KC,DET,a,Kansas City,Def,13,3000
2019,4,7019,NO,DAL,h,New Orleans,Def,11,2500
2019,4,7009,DAL,NO,a,Dallas,Def,11,3000
2019,4,7030,TEN,ATL,a,Tennessee,Def,11,2600
2019,4,7026,LAC,MIA,a,LA Chargers,Def,11,3800
2019,4,7022,OAK,IND,a,Oakland,Def,10,2700
2019,4,7032,HOU,CAR,h,Houston,Def,10,3100
2019,4,7008,CLE,BAL,a,Cleveland,Def,10,2500
2019,4,7031,WAS,NYG,a,Washington,Def,9,2800
2019,4,7025,LA,TB,h,LA Rams,Def,6,3500
