Week,Year,GID,Name,Pos,Team,h.a,Oppt,DK.points,DK.salary,first_name,last_name,plyr.nm,Team_fmt,Opp_fmt
1,2019,1527,"Jackson, Lamar",QB,bal,a,mia,36.56,6000,Lamar,Jackson,L.Jackson,BAL,MIA
1,2019,1501,"Prescott, Dak",QB,dal,h,nyg,36.4,5900,Dak,Prescott,D.Prescott,DAL,NYG
1,2019,1518,"Watson, Deshaun",QB,hou,a,nor,31.72,6800,Deshaun,Watson,D.Watson,HOU,NO
1,2019,1340,"Stafford, Matthew",QB,det,a,ari,31.6,5400,Matthew,Stafford,M.Stafford,DET,ARI
1,2019,1523,"Mahomes II, Patrick",QB,kan,a,jac,30.32,7200,Patrick,Mahomes II,P.Mahomes,KC,JAX
1,2019,1435,"Keenum, Case",QB,was,a,phi,30.2,4900,Case,Keenum,C.Keenum,WAS,PHI
1,2019,1131,"Brady, Tom",QB,nwe,h,pit,28.64,6000,Tom,Brady,T.Brady,NE,PIT
1,2019,1514,"Wentz, Carson",QB,phi,h,was,28.02,5700,Carson,Wentz,C.Wentz,PHI,WAS
1,2019,1231,"Rivers, Philip",QB,lac,h,ind,27.92,5900,Philip,Rivers,P.Rivers,LAC,IND
1,2019,1403,"Dalton, Andy",QB,cin,a,sea,25.72,5000,Andy,Dalton,A.Dalton,CIN,SEA
1,2019,1537,"Murray, Kyler",QB,ari,h,det,25.62,5600,Kyler,Murray,K.Murray,ARI,DET
1,2019,1151,"Brees, Drew",QB,nor,h,hou,24.8,6400,Drew,Brees,D.Brees,NO,HOU
1,2019,1466,"Mariota, Marcus",QB,ten,a,cle,24.32,5200,Marcus,Mariota,M.Mariota,TEN,CLE
1,2019,1301,"Ryan, Matt",QB,atl,a,min,23.56,6100,Matt,Ryan,M.Ryan,ATL,MIN
1,2019,1529,"Allen, Josh",QB,buf,a,nyj,19.96,5600,Josh,Allen,J.Allen,BUF,NYJ
1,2019,1225,"Manning, Eli",QB,nyg,a,dal,18.84,5000,Eli,Manning,E.Manning,NYG,DAL
1,2019,1540,"Minshew, Gardner",QB,jac,h,kan,18.6,4000,Gardner,Minshew,G.Minshew,JAX,KC
1,2019,1412,"Wilson, Russell",QB,sea,h,cin,16.64,6300,Russell,Wilson,R.Wilson,SEA,CIN
1,2019,1496,"Brissett, Jacoby",QB,ind,a,lac,16.5,4400,Jacoby,Brissett,J.Brissett,IND,LAC
1,2019,1302,"Flacco, Joe",QB,den,a,oak,14.82,5100,Joe,Flacco,J.Flacco,DEN,OAK
1,2019,1441,"Carr, Derek",QB,oak,h,den,14.56,5400,Derek,Carr,D.Carr,OAK,DEN
1,2019,1415,"Cousins, Kirk",QB,min,h,atl,14.32,5500,Kirk,Cousins,K.Cousins,MIN,ATL
1,2019,1524,"Darnold, Sam",QB,nyj,h,buf,13,5100,Sam,Darnold,S.Darnold,NYJ,BUF
1,2019,1252,"Rodgers, Aaron",QB,gnb,a,chi,12.92,6500,Aaron,Rodgers,A.Rodgers,GB,CHI
1,2019,1528,"Mayfield, Baker",QB,cle,h,ten,12.4,6400,Baker,Mayfield,B.Mayfield,CLE,TEN
1,2019,1452,"Garoppolo, Jimmy",QB,sfo,a,tam,11.44,5800,Jimmy,Garoppolo,J.Garoppolo,SF,TB
1,2019,1242,"Fitzpatrick, Ryan",QB,mia,h,bal,11.2,4900,Ryan,Fitzpatrick,R.Fitzpatrick,MIA,BAL
1,2019,1232,"Roethlisberger, Ben",QB,pit,a,nwe,10.74,6300,Ben,Roethlisberger,B.Roethlisberger,PIT,NE
1,2019,1490,"Goff, Jared",QB,lar,a,car,10.44,6200,Jared,Goff,J.Goff,LA,CAR
1,2019,1465,"Winston, Jameis",QB,tam,h,sfo,10.06,6600,Jameis,Winston,J.Winston,TB,SF
1,2019,1519,"Trubisky, Mitchell",QB,chi,h,gnb,9.22,5700,Mitchell,Trubisky,M.Trubisky,CHI,GB
1,2019,1530,"Hill, Taysom",QB,nor,h,hou,8.7,4300,Taysom,Hill,T.Hill,NO,HOU
1,2019,1378,"Newton, Cam",QB,car,h,lar,7.36,6500,Cam,Newton,C.Newton,CAR,LA
1,2019,1408,"Griffin III, Robert",QB,bal,a,mia,7.1,4000,Robert,Griffin III,R.Griffin III,BAL,MIA
1,2019,1413,"Foles, Nick",QB,jac,h,kan,7,5300,Nick,Foles,N.Foles,JAX,KC
1,2019,1539,"Jones, Daniel",QB,nyg,a,dal,0.18,4300,Daniel,Jones,D.Jones,NYG,DAL
1,2019,1400,"Taylor, Tyrod",QB,lac,h,ind,0,4300,Tyrod,Taylor,T.Taylor,LAC,IND
1,2019,1521,"Rush, Cooper",QB,dal,h,nyg,0,4400,Cooper,Rush,C.Rush,DAL,NYG
1,2019,1298,"Moore, Matt",QB,kan,a,jac,-0.1,4000,Matt,Moore,M.Moore,KC,JAX
1,2019,1410,"Tannehill, Ryan",QB,ten,a,cle,-0.2,4400,Ryan,Tannehill,R.Tannehill,TEN,CLE
1,2019,1525,"Rosen, Josh",QB,mia,h,bal,-0.8,4700,Josh,Rosen,J.Rosen,MIA,BAL
1,2019,5536,"McCaffrey, Christian",RB,car,h,lar,45.9,8800,Christian,McCaffrey,C.McCaffrey,CAR,LA
1,2019,5575,"Ekeler, Austin",RB,lac,h,ind,39.4,5500,Austin,Ekeler,A.Ekeler,LAC,IND
1,2019,5559,"Cook, Dalvin",RB,min,h,atl,29,6000,Dalvin,Cook,D.Cook,MIN,ATL
1,2019,5445,"Henry, Derrick",RB,ten,a,cle,28.9,5900,Derrick,Henry,D.Henry,TEN,CLE
1,2019,5548,"Mack, Marlon",RB,ind,a,lac,28.4,5600,Marlon,Mack,M.Mack,IND,LAC
1,2019,5395,"Johnson, David",RB,ari,h,det,25.7,7700,David,Johnson,D.Johnson,ARI,DET
1,2019,2793,"Ingram, Mark",RB,bal,a,mia,25.7,5100,Mark,Ingram,M.Ingram,BAL,MIA
1,2019,5565,"Carson, Chris",RB,sea,h,cin,25.1,5700,Chris,Carson,C.Carson,SEA,CIN
1,2019,5712,"Jacobs, Josh",RB,oak,h,den,24.3,5200,Josh,Jacobs,J.Jacobs,OAK,DEN
1,2019,5562,"Kamara, Alvin",RB,nor,h,hou,23.9,8500,Alvin,Kamara,A.Kamara,NO,HOU
1,2019,2888,"Bell, Le'Veon",RB,nyj,h,buf,23.2,7100,Le'Veon,Bell,L.Bell,NYJ,BUF
1,2019,5614,"Barkley, Saquon",RB,nyg,a,dal,20.9,9000,Saquon,Barkley,S.Barkley,NYG,DAL
1,2019,2957,"Williams, Damien",RB,kan,a,jac,18.5,6300,Damien,Williams,Dam. Williams,KC,JAX
1,2019,5441,"Brown, Malcolm",RB,lar,a,car,17.3,3800,Malcolm,Brown,M.Brown,LA,CAR
1,2019,2915,"Thompson, Chris",RB,was,a,phi,14.8,3500,Chris,Thompson,C.Thompson,WAS,PHI
1,2019,5717,"Singletary, Devin",RB,buf,a,nyj,14.8,3600,Devin,Singletary,D.Singletary,BUF,NYJ
1,2019,2890,"Burkhead, Rex",RB,nwe,h,pit,13.5,3500,Rex,Burkhead,R.Burkhead,NE,PIT
1,2019,5444,"Elliott, Ezekiel",RB,dal,h,nyg,13.3,9200,Ezekiel,Elliott,E.Elliott,DAL,NYG
1,2019,2954,"White, James",RB,nwe,h,pit,13.2,4800,James,White,J.White,NE,PIT
