season,week,game.id,date,dow,team,opp,h.a,playerid,name,full_name,pos,dk.salary,fan_pts,pass.att,pass.comp,passyds,pass.tds,pass.ints,pass.twopta,pass.twoptm,rush.att,rushyds,rushtds,rushlng,rushlngtd,rush.twopta,rush.twoptm,recept,recyds,rec.tds,reclng,reclngtd,rec.twopta,rec.twoptm,kick.rets,kickret.avg,kickret.tds,kick.ret.lng,kickret.lngtd,punt.rets,puntret.avg,puntret.tds,puntret.lng,puntret.lngtd,fgm,fga,fgyds,totpts.fg,xpmade,xpmissed,xpa,xpb,xppts.tot,tackles,asst.tackles,sacks,defints,forced.fumbs,totalfumbs,recfumbs,totalrecfumbs,fumbyds,fumbslost,games
2019,1,2019090500,2019-09-05,Thu,CHI,GB,h,00-0033556,T.Cohen,Tarik Cohen,RB,4800,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,49,0,9,0,0,0,0,0,0,0,0,4,9,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090500,2019-09-05,Thu,CHI,GB,h,00-0032063,M.Davis,Mike Davis,RB,3500,9.6,0,0,0,0,0,0,0,5,19,0,8,0,0,0,6,17,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090500,2019-09-05,Thu,CHI,GB,h,00-0035685,D.Montgomery,David Montgomery,RB,5200,5.5,0,0,0,0,0,0,0,6,18,0,6,0,0,0,1,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090500,2019-09-05,Thu,CHI,GB,h,00-0030578,C.Patterson,Cordarrelle Patterson,WR,3600,1.1,0,0,0,0,0,0,0,1,-2,0,-2,0,0,0,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090500,2019-09-05,Thu,CHI,GB,h,00-0033869,M.Trubisky,Mitchell Trubisky,QB,5700,9.219999999999999,45,26,228,0,1,0,0,3,11,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090500,2019-09-05,Thu,CHI,GB,h,00-0033896,A.Shaheen,Adam Shaheen,TE,2700,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090500,2019-09-05,Thu,CHI,GB,h,00-0031228,T.Gabriel,Taylor Gabriel,WR,3900,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,24,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090500,2019-09-05,Thu,GB,CHI,a,00-0033293,A.Jones,Aaron Jones,RB,5400,4.9,0,0,0,0,0,0,0,13,39,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1
2019,1,2019090500,2019-09-05,Thu,GB,CHI,a,00-0033948,J.Williams,Jamaal Williams,RB,3300,3.5,0,0,0,0,0,0,0,5,0,0,5,0,0,0,2,15,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090500,2019-09-05,Thu,GB,CHI,a,00-0034272,M.Valdes-Scantling,Marquez Valdes-Scantling,WR,4400,9.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,52,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090500,2019-09-05,Thu,GB,CHI,a,00-0023459,A.Rodgers,Aaron Rodgers,QB,6500,12.92,30,18,203,1,0,0,0,3,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090500,2019-09-05,Thu,GB,CHI,a,00-0031381,D.Adams,Davante Adams,WR,7700,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,36,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090500,2019-09-05,Thu,GB,CHI,a,00-0033757,R.Tonyan,Robert Tonyan,TE,2500,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090500,2019-09-05,Thu,GB,CHI,a,00-0024243,M.Lewis,Marcedes Lewis,TE,2500,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090500,2019-09-05,Thu,GB,CHI,a,00-0027696,J.Graham,Jimmy Graham,TE,3600,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,30,1,16,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2019,1,2019090800,2019-09-08,Sun,CAR,LA,h,00-0027939,C.Newton,Cam Newton,QB,6500,7.360000000000001,38,25,239,0,1,0,0,3,-2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
2019,1,2019090800,2019-09-08,Sun,CAR,LA,h,00-0034827,D.Moore,D.J. Moore,WR,5500,13.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,76,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
